Algorithm,Scaling,Number_of_Features,aupr_mean
LR,MinMax,182,93.092
LR,MinMax,183,93.072
LR,MinMax,184,93.072
LR,MinMax,185,93.124
LR,MinMax,186,93.366
LR,MinMax,187,93.19399999999999
LR,MinMax,188,93.128
LR,Standard,1,93.77000000000001
LR,Standard,2,94.526
LR,Standard,3,94.554
LR,Standard,4,94.768
LR,Standard,5,94.856
LR,Standard,6,95.298
LR,Standard,7,95.372
LR,Standard,8,95.06800000000001
LR,Standard,9,95.018
LR,Standard,10,95.22999999999999
LR,Standard,11,95.366
LR,Standard,12,95.45
LR,Standard,13,95.15
LR,Standard,14,95.188
LR,Standard,15,95.422
LR,Standard,16,95.66
LR,Standard,17,95.648
LR,Standard,18,95.574
LR,Standard,19,95.45
LR,Standard,20,95.608
LR,Standard,21,95.702
LR,Standard,22,95.824
LR,Standard,23,95.768
LR,Standard,24,95.648
LR,Standard,25,95.58200000000001
LR,Standard,26,95.75
LR,Standard,27,95.628
LR,Standard,28,95.522
LR,Standard,29,95.364
LR,Standard,30,95.4
LR,Standard,31,95.714
LR,Standard,32,95.644
LR,Standard,33,95.49199999999999
LR,Standard,34,95.764
LR,Standard,35,95.704
LR,Standard,36,95.71799999999999
LR,Standard,37,95.824
LR,Standard,38,95.83399999999999
LR,Standard,39,95.724
LR,Standard,40,95.314
LR,Standard,41,95.408
LR,Standard,42,95.464
LR,Standard,43,95.292
LR,Standard,44,95.42
LR,Standard,45,95.47999999999999
LR,Standard,46,95.534
LR,Standard,47,95.428
LR,Standard,48,95.786
LR,Standard,49,95.74
LR,Standard,50,94.854
LR,Standard,51,94.664
LR,Standard,52,94.752
LR,Standard,53,94.862
LR,Standard,54,94.612
LR,Standard,55,94.49600000000001
LR,Standard,56,94.53
LR,Standard,57,94.58399999999999
LR,Standard,58,94.764
LR,Standard,59,94.744
LR,Standard,60,94.816
LR,Standard,61,94.45
LR,Standard,62,94.756
LR,Standard,63,94.752
LR,Standard,64,94.44200000000001
LR,Standard,65,94.43
LR,Standard,66,94.55199999999999
LR,Standard,67,94.518
LR,Standard,68,94.426
LR,Standard,69,94.548
LR,Standard,70,94.526
LR,Standard,71,94.38399999999999
LR,Standard,72,94.388
LR,Standard,73,94.51
LR,Standard,74,94.65599999999999
LR,Standard,75,94.22200000000001
LR,Standard,76,94.218
LR,Standard,77,93.928
LR,Standard,78,93.798
LR,Standard,79,94.038
LR,Standard,80,94.162
LR,Standard,81,94.242
LR,Standard,82,94.19200000000001
LR,Standard,83,94.122
LR,Standard,84,94.144
LR,Standard,85,94.16
LR,Standard,86,94.174
LR,Standard,87,94.21000000000001
LR,Standard,88,94.388
LR,Standard,89,94.34
LR,Standard,90,94.154
LR,Standard,91,93.922
LR,Standard,92,94.002
LR,Standard,93,93.89000000000001
LR,Standard,94,93.74600000000001
LR,Standard,95,93.74
LR,Standard,96,93.786
LR,Standard,97,93.77799999999999
LR,Standard,98,93.708
LR,Standard,99,93.708
LR,Standard,100,93.732
LR,Standard,101,93.89
LR,Standard,102,93.868
LR,Standard,103,93.796
LR,Standard,104,93.88
LR,Standard,105,94.11800000000001
LR,Standard,106,94.038
LR,Standard,107,93.892
LR,Standard,108,93.974
LR,Standard,109,93.678
LR,Standard,110,94.042
LR,Standard,111,94.00399999999999
LR,Standard,112,93.928
LR,Standard,113,93.922
LR,Standard,114,94.262
LR,Standard,115,94.142
LR,Standard,116,93.988
LR,Standard,117,93.97200000000001
LR,Standard,118,94.146
LR,Standard,119,94.35799999999999
LR,Standard,120,94.41
LR,Standard,121,94.41
LR,Standard,122,94.196
LR,Standard,123,94.142
LR,Standard,124,94.008
LR,Standard,125,93.99
LR,Standard,126,93.9
LR,Standard,127,93.922
LR,Standard,128,94.018
LR,Standard,129,93.514
LR,Standard,130,93.648
LR,Standard,131,93.864
LR,Standard,132,93.696
LR,Standard,133,93.54400000000001
LR,Standard,134,93.608
LR,Standard,135,93.70599999999999
LR,Standard,136,93.508
LR,Standard,137,93.744
LR,Standard,138,93.66799999999999
LR,Standard,139,93.704
LR,Standard,140,93.672
LR,Standard,141,93.696
LR,Standard,142,93.82000000000001
LR,Standard,143,93.506
LR,Standard,144,93.412
LR,Standard,145,93.44800000000001
LR,Standard,146,93.488
LR,Standard,147,93.476
LR,Standard,148,93.38000000000001
LR,Standard,149,93.49
LR,Standard,150,93.462
LR,Standard,151,93.5
LR,Standard,152,93.566
LR,Standard,153,93.688
LR,Standard,154,93.798
LR,Standard,155,93.824
LR,Standard,156,93.736
LR,Standard,157,93.898
LR,Standard,158,93.87
LR,Standard,159,93.792
LR,Standard,160,93.836
LR,Standard,161,93.73400000000001
LR,Standard,162,93.77000000000001
LR,Standard,163,93.77799999999999
LR,Standard,164,93.736
LR,Standard,165,93.736
LR,Standard,166,93.92
LR,Standard,167,93.568
LR,Standard,168,93.70599999999999
LR,Standard,169,93.514
LR,Standard,170,93.53399999999999
LR,Standard,171,93.50399999999999
LR,Standard,172,93.62
LR,Standard,173,93.672
LR,Standard,174,93.664
LR,Standard,175,93.72200000000001
LR,Standard,176,93.67999999999999
LR,Standard,177,93.46799999999999
LR,Standard,178,93.688
LR,Standard,179,93.44800000000001
LR,Standard,180,93.64
LR,Standard,181,93.488
LR,Standard,182,93.58
LR,Standard,183,93.654
LR,Standard,184,93.67999999999999
LR,Standard,185,93.602
LR,Standard,186,93.566
LR,Standard,187,93.586
LR,Standard,188,93.568
RF,MinMax,1,91.238
RF,MinMax,2,92.67999999999999
RF,MinMax,3,93.186
RF,MinMax,4,93.628
RF,MinMax,5,94.25
RF,MinMax,6,93.95599999999999
RF,MinMax,7,93.194
RF,MinMax,8,93.376
RF,MinMax,9,92.86
RF,MinMax,10,93.694
RF,MinMax,11,94.032
RF,MinMax,12,93.51
RF,MinMax,13,94.27799999999999
RF,MinMax,14,93.902
RF,MinMax,15,94.36800000000001
RF,MinMax,16,94.202
RF,MinMax,17,95.52000000000001
RF,MinMax,18,94.79400000000001
RF,MinMax,19,95.136
RF,MinMax,20,94.958
RF,MinMax,21,94.582
RF,MinMax,22,95.062
RF,MinMax,23,95.144
RF,MinMax,24,94.99600000000001
RF,MinMax,25,95.664
RF,MinMax,26,95.63199999999999
RF,MinMax,27,95.11800000000001
RF,MinMax,28,94.836
RF,MinMax,29,95.39
RF,MinMax,30,96.086
RF,MinMax,31,95.49199999999999
RF,MinMax,32,94.964
RF,MinMax,33,96.162
RF,MinMax,34,95.342
RF,MinMax,35,95.63199999999999
RF,MinMax,36,95.804
RF,MinMax,37,96.218
RF,MinMax,38,95.956
RF,MinMax,39,95.54400000000001
RF,MinMax,40,96.124
RF,MinMax,41,95.736
RF,MinMax,42,95.664
RF,MinMax,43,96.18199999999999
RF,MinMax,44,95.768
RF,MinMax,45,95.67
RF,MinMax,46,95.80199999999999
RF,MinMax,47,96.272
RF,MinMax,48,95.45
RF,MinMax,49,95.616
RF,MinMax,50,95.83
RF,MinMax,51,96.118
RF,MinMax,52,96.03999999999999
RF,MinMax,53,95.99
RF,MinMax,54,96.22999999999999
RF,MinMax,55,95.444
RF,MinMax,56,96.64200000000001
RF,MinMax,57,95.9
RF,MinMax,58,95.096
RF,MinMax,59,95.55
RF,MinMax,60,95.772
RF,MinMax,61,96.16
RF,MinMax,62,95.45599999999999
RF,MinMax,63,95.988
RF,MinMax,64,95.75399999999999
RF,MinMax,65,96.128
RF,MinMax,66,95.908
RF,MinMax,67,96.098
RF,MinMax,68,96.242
RF,MinMax,69,95.44800000000001
RF,MinMax,70,95.67
RF,MinMax,71,95.72
RF,MinMax,72,95.898
RF,MinMax,73,96.482
RF,MinMax,74,95.686
RF,MinMax,75,96.056
RF,MinMax,76,95.866
RF,MinMax,77,95.732
RF,MinMax,78,95.726
RF,MinMax,79,95.96000000000001
RF,MinMax,80,96.056
RF,MinMax,81,95.374
RF,MinMax,82,95.9
RF,MinMax,83,95.952
RF,MinMax,84,95.862
RF,MinMax,85,95.412
RF,MinMax,86,96.17999999999999
RF,MinMax,87,96.12
RF,MinMax,88,95.774
RF,MinMax,89,94.926
RF,MinMax,90,95.696
RF,MinMax,91,96.34400000000001
RF,MinMax,92,95.548
RF,MinMax,93,95.736
RF,MinMax,94,96.256
RF,MinMax,95,95.602
RF,MinMax,96,95.48400000000001
RF,MinMax,97,96.064
RF,MinMax,98,95.41
RF,MinMax,99,95.826
RF,MinMax,100,95.124
RF,MinMax,101,95.55199999999999
RF,MinMax,102,94.982
RF,MinMax,103,95.112
RF,MinMax,104,95.738
RF,MinMax,105,95.786
RF,MinMax,106,95.216
RF,MinMax,107,95.212
RF,MinMax,108,95.69800000000001
RF,MinMax,109,95.612
RF,MinMax,110,94.78200000000001
RF,MinMax,111,95.52000000000001
RF,MinMax,112,95.486
RF,MinMax,113,94.918
RF,MinMax,114,95.63
RF,MinMax,115,95.236
RF,MinMax,116,95.276
RF,MinMax,117,95.27000000000001
RF,MinMax,118,95.74199999999999
RF,MinMax,119,95.55799999999999
RF,MinMax,120,95.114
RF,MinMax,121,95.08399999999999
RF,MinMax,122,95.36600000000001
RF,MinMax,123,95.276
RF,MinMax,124,95.252
RF,MinMax,125,95.066
RF,MinMax,126,95.562
RF,MinMax,127,95.46600000000001
RF,MinMax,128,95.796
RF,MinMax,129,96.09
RF,MinMax,130,95.37
RF,MinMax,131,94.89
RF,MinMax,132,95.608
RF,MinMax,133,95.146
RF,MinMax,134,95.46600000000001
RF,MinMax,135,95.71000000000001
RF,MinMax,136,95.586
RF,MinMax,137,95.322
RF,MinMax,138,95.52000000000001
RF,MinMax,139,95.02000000000001
RF,MinMax,140,95.25
RF,MinMax,141,94.468
RF,MinMax,142,96.036
RF,MinMax,143,95.002
RF,MinMax,144,95.538
RF,MinMax,145,95.74600000000001
RF,MinMax,146,95.918
RF,MinMax,147,95.46000000000001
RF,MinMax,148,95.614
RF,MinMax,149,94.934
RF,MinMax,150,95.942
RF,MinMax,151,95.31800000000001
RF,MinMax,152,95.424
RF,MinMax,153,95.638
RF,MinMax,154,95.888
RF,MinMax,155,94.84200000000001
RF,MinMax,156,95.924
RF,MinMax,157,94.682
RF,MinMax,158,95.626
RF,MinMax,159,95.148
RF,MinMax,160,94.56
RF,MinMax,161,95.988
RF,MinMax,162,95.84
RF,MinMax,163,95.194
RF,MinMax,164,95.644
RF,MinMax,165,95.238
RF,MinMax,166,95.17999999999999
RF,MinMax,167,95.634
RF,MinMax,168,94.84
RF,MinMax,169,95.09
RF,MinMax,170,95.026
RF,MinMax,171,94.578
RF,MinMax,172,95.688
RF,MinMax,173,94.644
RF,MinMax,174,95.616
RF,MinMax,175,95.314
RF,MinMax,176,94.77000000000001
RF,MinMax,177,94.678
RF,MinMax,178,95.078
RF,MinMax,179,94.436
RF,MinMax,180,95.954
RF,MinMax,181,95.274
RF,MinMax,182,95.564
RF,MinMax,183,94.822
RF,MinMax,184,95.276
RF,MinMax,185,95.228
RF,MinMax,186,95.174
RF,MinMax,187,95.24199999999999
RF,MinMax,188,94.662
RF,Standard,1,91.08
RF,Standard,2,92.68199999999999
RF,Standard,3,93.186
RF,Standard,4,93.59400000000001
RF,Standard,5,94.25
RF,Standard,6,93.95599999999999
RF,Standard,7,93.194
RF,Standard,8,93.572
RF,Standard,9,92.86
RF,Standard,10,93.694
RF,Standard,11,94.032
RF,Standard,12,93.51
RF,Standard,13,94.27799999999999
RF,Standard,14,93.902
